# ./img/test_model.bmp ./img/test_scene.bmp
gradient_phase,r_x,r_y
0,15,12
0,15,11
0,15,10
0,15,9
0,15,8
0,15,7
0,15,6
0,15,5
0,15,4
0,15,3
0,15,2
0,15,1
0,15,0
0,15,-1
0,15,-2
0,15,-3
0,15,-4
0,15,-5
0,15,-6
0,15,-7
0,15,-8
0,15,-9
0,15,-10
0,15,-11
0,15,-12
0,15,-13
0,15,-14
0,-1,0
0,-2,0
0,-4,3
0,-16,-11
0,-17,15
0,-17,14
0,-17,13
0,-17,12
0,-17,11
0,-17,10
0,-17,9
0,-17,8
0,-17,7
0,-17,6
0,-17,5
0,-17,4
0,-17,3
0,-17,2
0,-17,1
0,-17,0
0,-17,-1
0,-17,-2
0,-17,-3
0,-17,-4
0,-17,-5
0,-17,-6
0,-17,-7
0,-17,-8
0,-17,-9
0,-17,-10
0,-17,-11
0,-17,-12
0,-17,-13
0,-17,-14
0,-17,-15
18,15,13
18,-12,-14
18,-17,-16
45,15,15
45,15,14
45,15,-16
45,14,15
45,2,-3
45,2,-4
45,1,-2
45,1,-3
45,-2,1
45,-3,2
45,-3,1
45,-4,2
45,-12,-12
45,-12,-13
45,-12,-16
45,-13,-12
45,-16,15
45,-16,-12
45,-16,-16
45,-17,-17
72,13,15
72,-14,-12
72,-16,-17
90,15,-17
90,14,-17
90,13,-17
90,12,15
90,12,-17
90,11,15
90,11,-17
90,10,15
90,10,-17
90,9,15
90,9,-17
90,8,15
90,8,-17
90,7,15
90,7,-17
90,6,15
90,6,-17
90,5,15
90,5,-17
90,4,15
90,4,-17
90,3,15
90,3,-4
90,3,-17
90,2,15
90,2,-17
90,1,15
90,1,-17
90,0,15
90,0,-1
90,0,-2
90,0,-17
90,-1,15
90,-1,-17
90,-2,15
90,-2,-17
90,-3,15
90,-3,-17
90,-4,15
90,-4,-17
90,-5,15
90,-5,-17
90,-6,15
90,-6,-17
90,-7,15
90,-7,-17
90,-8,15
90,-8,-17
90,-9,15
90,-9,-17
90,-10,15
90,-10,-17
90,-11,15
90,-11,-16
90,-11,-17
90,-12,15
90,-12,-17
90,-13,15
90,-13,-17
90,-14,15
90,-14,-17
90,-15,-17
108,16,-17
108,-15,-16
135,17,-17
135,16,14
135,16,-16
135,14,13
135,14,12
135,13,12
135,13,11
135,12,11
135,12,10
135,11,10
135,11,9
135,10,9
135,10,8
135,9,8
135,9,7
135,8,7
135,8,6
135,7,6
135,7,5
135,6,5
135,6,4
135,5,4
135,5,3
135,4,3
135,4,2
135,4,-4
135,3,2
135,3,1
135,3,-3
135,2,1
135,-1,-2
135,-1,-3
135,-2,-3
135,-2,-4
135,-3,-4
135,-3,-5
135,-4,-5
135,-4,-6
135,-5,-6
135,-5,-7
135,-6,-7
135,-6,-8
135,-7,-8
135,-7,-9
135,-8,-9
135,-8,-10
135,-9,-10
135,-9,-11
135,-10,-16
135,-11,-13
135,-13,-14
135,-14,-16
135,-15,15
135,-15,-12
162,17,-16
162,16,15
162,-10,-11
162,-11,-12
180,17,15
180,17,14
180,17,13
180,17,12
180,17,11
180,17,10
180,17,9
180,17,8
180,17,7
180,17,6
180,17,5
180,17,4
180,17,3
180,17,2
180,17,1
180,17,0
180,17,-1
180,17,-2
180,17,-3
180,17,-4
180,17,-5
180,17,-6
180,17,-7
180,17,-8
